,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,StackedEnsemble_AllModels_AutoML_20190418_120619,0.8563693980607671,0.15694947060944425,0.3717436752811241,0.2007405550470548,0.04029677044059962
1,StackedEnsemble_BestOfFamily_AutoML_20190418_120619,0.8542168452308667,0.1570979461057305,0.32639693229568434,0.20057059983867948,0.040228565519647694
2,GBM_grid_1_AutoML_20190418_120619_model_2,0.853117828808133,0.154296155443055,0.3285865043385561,0.20030330095688534,0.04012141237422459
3,GBM_grid_1_AutoML_20190418_120619_model_5,0.8503423184381772,0.16096146011163676,0.3651394425644179,0.20549656928635002,0.042228839988459665
4,DRF_1_AutoML_20190418_120619,0.8479175343756177,0.17807207514005838,0.3590257741830741,0.20137858970214045,0.040553336390423016
5,GBM_grid_1_AutoML_20190418_120619_model_9,0.8458747585384269,0.16048177661995294,0.3590213346095627,0.20444629873575887,0.04179828906675116
6,GBM_4_AutoML_20190418_120619,0.8451878113763184,0.15909352350740835,0.3628364991818208,0.2026327109608374,0.04106001555133827
7,XRT_1_AutoML_20190418_120619,0.8439065333856609,0.17106062661903432,0.33877315698618804,0.2020704823753861,0.040832479847421235
8,GBM_3_AutoML_20190418_120619,0.8391152688134441,0.1624727368715516,0.3935672953284895,0.20526248016251852,0.04213268576246832
9,GBM_5_AutoML_20190418_120619,0.8345430032799569,0.16561585391043349,0.4195861501288911,0.20743855234549471,0.043030752999194566
10,GBM_2_AutoML_20190418_120619,0.8344387501412126,0.1650335949741589,0.3937248148117286,0.20690033636959768,0.04280774918985266
11,GBM_1_AutoML_20190418_120619,0.8306273421311565,0.16614189640068264,0.3978168721688328,0.20760817345650184,0.043101153685944936
12,GBM_grid_1_AutoML_20190418_120619_model_15,0.8281449289893632,0.17087941419866184,0.4157694231682627,0.21132028035993144,0.04465626089140001
13,GBM_grid_1_AutoML_20190418_120619_model_14,0.8229083410433926,0.1886267016181371,0.4454738752955219,0.2218101513593271,0.04919974324604762
14,GBM_grid_1_AutoML_20190418_120619_model_6,0.7988499506797533,0.1912295500992065,0.480331997795786,0.2234573716774473,0.04993319695699282
15,GBM_grid_1_AutoML_20190418_120619_model_7,0.7976357443996829,0.21352216034380656,0.4684343335168813,0.2236378266882074,0.05001387752582468
16,GBM_grid_1_AutoML_20190418_120619_model_16,0.7773262665112861,0.2011676108349458,0.479282141112049,0.22686014371163585,0.05146552480486406
17,GBM_grid_1_AutoML_20190418_120619_model_11,0.7754722750000239,0.1901785212241274,0.4741151520185101,0.22213360653864928,0.04934333915386745
18,GBM_grid_1_AutoML_20190418_120619_model_8,0.7738337479439652,0.19099991672524172,0.4848171964626025,0.2220381665912693,0.049300947423212255
19,GBM_grid_1_AutoML_20190418_120619_model_1,0.7731203597065401,0.1929447522672009,0.4940349719548726,0.2236140069013886,0.05000322408249427
20,GBM_grid_1_AutoML_20190418_120619_model_3,0.7609859210195774,0.19756612465145187,0.5,0.2248490180269198,0.05055708090767011
21,GBM_grid_1_AutoML_20190418_120619_model_12,0.7087594612434112,0.2196992766907089,0.5,0.23099220383468666,0.053357398232405436
22,GBM_grid_1_AutoML_20190418_120619_model_4,0.66225561172337,0.21971986502778235,0.4984347515198026,0.2331978050305339,0.05438121627105893
23,GBM_grid_1_AutoML_20190418_120619_model_10,0.6376069544484732,0.21898089777910948,0.499736425935688,0.2330022651642367,0.05429005557166525
24,GBM_grid_1_AutoML_20190418_120619_model_13,0.6319013597115943,0.2188574075904234,0.4943147419248598,0.2329129524488804,0.0542484434184544
25,DeepLearning_grid_1_AutoML_20190418_120619_model_2,0.5827355419141501,0.22293855587224606,0.5,0.2331802012179796,0.05437300624005744
26,DeepLearning_1_AutoML_20190418_120619,0.5672071858800252,0.2235791485188587,0.5,0.2334459463707052,0.05449700987691415
27,DeepLearning_grid_1_AutoML_20190418_120619_model_1,0.5388895796789382,0.3147116387263801,0.5,0.2377099894141377,0.056506039067269476
28,GLM_grid_1_AutoML_20190418_120619_model_1,0.5225910515546498,0.22097924308847253,0.5,0.2335166566542058,0.05453002893495823
